WeekStart ,WfP,MP,KiP 
22/04/2019,0.323809524,0.413333333,0.666666667
06/05/2019,0.470238095,0.5625,0.583333333
20/05/2019,0.583333333,0.513333333,0.6
10/06/2019,0.616666667,0.458333333,0.476190476
