,Species,FamilyID,Family,Observer,Site,BroodSize,BroodAge,Date,Julian,StartTime,AmbientTemp,M,F,ASR,MT,FT,MB,FB,MD,FD
52,WfP,6,403,Georgie,B,2,15,30/04/2019,19120,925,27.4,4.2,0,0.470238095,4,4,4,0,0,4
53,WfP,7,902,Georgie,H,2,3,17/05/2019,19137,745,20.3,0,39.2,0.583333333,0,39,0,39,0,0
54,WfP,8,309,Nemena,F,3,22,17/05/2019,19137,1002,27.6,0,0,0.583333333,0,0,0,0,0,0
55,WfP,9,310,Nemena,F,2,21,15/05/2019,19135,939,25.4,1.7,3.3,0.583333333,2,3,0,3,2,0
56,WfP,11,-801,Georgie,H,2,8,13/06/2019,19164,950,24.7,0,0,0.616666667,0,0,0,0,0,0
57,WfP,12,316,Georgie,H,1,6,17/06/2019,19168,930,25,0,0,0.616666667,0,0,0,0,0,0
58,MP,13,224,Georgie,H,2,4,18/05/2019,19138,856,26.5,4.2,0,0.513333333,4,0,0,0,4,0
59,MP,14,317,Georgie,G,1,3,19/04/2019,19109,847,26.7,0.8,0,0.413333333,1,0,0,0,1,0
60,MP,15,319,Georgie,G,1,12,05/05/2019,19125,829,27.9,14.2,0.8,0.5625,14,1,8,0,6,1
61,MP,16,429,Georgie,E,2,8,24/05/2019,19144,940,26,5,4.2,0.513333333,5,4,0,0,5,4
62,MP,17,423,Nemena,D,2,4,19/04/2019,19109,648,19.7,0,31.7,0.413333333,0,32,0,32,0,0
63,KP,19,-419,Georgie,H,2,11,17/05/2019,19137,935,27.6,6.6,0,0.6,7,0,6,0,1,0
64,KP,20,-900,Georgie,D,1,16,23/05/2019,19143,945,27.8,1.7,0,0.6,2,0,0,0,2,0
65,KP,21,-901,Georgie,D,1,11,02/05/2019,19122,1455,29.2,0,0,0.583333333,0,0,0,0,0,0
66,KP,23,508,Georgie,E,2,12,04/06/2019,19155,935,28.3,55.8,0,0.476190476,56,0,56,0,0,0
67,KP,24,-734,Georgie,H,2,24,08/06/2019,19159,852,25.6,36.6,0,0.476190476,37,0,37,0,0,0
